id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
"#meta +id","#meta +code","#loc +airport +type","#loc +airport +name","#geo +lat","#geo +lon","#geo +elevation +ft","#region +continent +code","#country +name","#country +code +iso2","#adm1 +name","#adm1 +code +iso","#adm1 +code +local","#loc +municipality +name","#status +scheduled","#loc +airport +code +gps","#loc +airport +code +iata","#loc +airport +code +local","#meta +url +airport","#meta +url +wikipedia","#meta +keywords","#meta +score","#date +updated"
4372,LIRF,large_airport,"Rome–Fiumicino Leonardo da Vinci International Airport",41.804532,12.251998,13,EU,Italy,IT,Lazio,IT-62,62,Rome,1,LIRF,FCO,RM11,http://www.adr.it/portal/portal/adr/Fiumicino/Leonardo_da_vinci/Header_Window?action=2,https://en.wikipedia.org/wiki/Leonardo_da_Vinci%E2%80%93Fiumicino_Airport,"ROM, Rome Fiumicino Airport, Fiumicino Airport",1031875,2021-10-13T23:59:34+00:00
4340,LIMC,large_airport,"Malpensa International Airport",45.6306,8.72811,768,EU,Italy,IT,Lombardy,IT-25,25,Milan,1,LIMC,MXP,MI12,http://www.sea-aeroportimilano.it/en/malpensa/index.phtml,https://en.wikipedia.org/wiki/Malpensa_Airport,MIL,1019475,2019-09-26T01:44:19+00:00
4368,LIPZ,large_airport,"Venice Marco Polo Airport",45.505299,12.3519,7,EU,Italy,IT,Veneto,IT-34,34,Venice,1,LIPZ,VCE,VE05,http://www.veniceairport.com/core/index.jsp?_requestid=37300&language=en,https://en.wikipedia.org/wiki/Venice_Marco_Polo_Airport,"Venezia Tessera",1000,2016-07-02T10:46:17+00:00
4345,LIML,medium_airport,"Milano Linate Airport",45.445099,9.27674,353,EU,Italy,IT,Lombardy,IT-25,25,Milan,1,LIML,LIN,MI11,http://www.sea-aeroportimilano.it/en/,https://en.wikipedia.org/wiki/Linate_Airport,"E Forlanini",750,2021-08-01T05:40:42+00:00
4370,LIRA,medium_airport,"Ciampino–G. B. Pastine International Airport",41.7994,12.5949,427,EU,Italy,IT,Lazio,IT-62,62,Rome,1,LIRA,CIA,RM12,,https://en.wikipedia.org/wiki/Ciampino%E2%80%93G._B._Pastine_International_Airport,"ROM, Giovan Battista Pastine Airport",750,2021-10-17T20:37:50+00:00
4341,LIME,large_airport,"Milan Bergamo Airport",45.673901,9.70417,782,EU,Italy,IT,Lombardy,IT-25,25,Milan,1,LIME,BGY,BG01,http://www.sacbo.it/,https://en.wikipedia.org/wiki/Orio_al_Serio_International_Airport,"Bergamo Orio al Serio Airport, Il Caravaggio International Airport",1050,2021-04-10T17:17:48+00:00
4354,LIPE,large_airport,"Bologna Guglielmo Marconi Airport",44.5354,11.2887,123,EU,Italy,IT,Emilia-Romagna,IT-45,45,Bologna,1,LIPE,BLQ,BO08,http://www.bologna-airport.it/?LN=UK,https://en.wikipedia.org/wiki/Bologna_Airport,"Guglielmo Marconi Airport, Borgo Panigale Airport",1200,2022-09-29T09:23:14+00:00
4378,LIRN,large_airport,"Naples International Airport",40.886002,14.2908,294,EU,Italy,IT,Campania,IT-72,72,Napoli,1,LIRN,NAP,NA01,http://www.portal.gesac.it/,https://en.wikipedia.org/wiki/Naples_International_Airport,"Capodichino Airport, Aeroporto Internazionale di Napoli-Capodichino Ugo Niutta, Ariopuorto 'nternazziunale 'e Napule-Capodichino Ugo Niutta",1275,2022-11-19T10:15:26+00:00
4379,LIRP,large_airport,"Pisa International Airport",43.683899,10.3927,6,EU,Italy,IT,Tuscany,IT-52,52,Pisa,1,LIRP,PSA,PI05,http://www.pisa-airport.com/,https://en.wikipedia.org/wiki/Pisa_International_Airport,"Galileo Galilei Airport, San Giusto Airport",1200,2016-09-26T01:58:34+00:00
4318,LICC,large_airport,"Catania-Fontanarossa Airport",37.466801,15.0664,39,EU,Italy,IT,Sicily,IT-82,82,Catania,1,LICC,CTA,CT03,http://www.aeroporto.catania.it/,https://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport,"Lanza Di Trabie, Catania-Fontanarossa Vincenzo Bellini",1050,2016-10-01T09:34:41+00:00
4380,LIRQ,medium_airport,"Peretola Airport",43.810001,11.2051,142,EU,Italy,IT,Tuscany,IT-52,52,Firenze,1,LIRQ,FLR,FI04,http://www.aeroporto.firenze.it/,"https://en.wikipedia.org/wiki/Florence_Airport,_Peretola","Florence, Firenze, Amerigo Vespucci Airport",750,2016-07-03T13:45:41+00:00
